graph,n,m,base_ok,base_runtime_ms,base_angle,base_face,base_edge,base_edgeRatio,base_spacing,base_dummyCount,base_status,single_ok,single_runtime_ms,single_angle,single_face,single_edge,single_edgeRatio,single_spacing,single_dummyCount,single_status
sample1,50,96,1,366.497389,0.28399700515547377,0.9975144820248666,0.9417039548172647,0.04131019836829038,0.752311338241825,47,max_sweeps,1,346.320475,0.28399700515547377,0.9975144820248666,0.9417039548172647,0.04131019836829038,0.752311338241825,47,max_sweeps
sample2,30,82,1,115.216583,0.4372215584344733,0.9955479772468617,0.9321952971792028,0.05312884684566879,0.6837554910519722,1,max_sweeps,1,112.774757,0.4372215584344733,0.9955479772468617,0.9321952971792028,0.05312884684566879,0.6837554910519722,1,max_sweeps
sample3,20,30,1,54.972021,0.7064480506650719,0.9986472695464534,0.882264601891621,0.1256147915444338,0.8424278481330028,11,stalled,1,55.377221,0.7064480506650719,0.9986472695464534,0.882264601891621,0.1256147915444338,0.8424278481330028,11,stalled
sample4,42,113,1,137.519951,0.3415655166208236,0.8527949962954761,0.9264452739017988,0.029043793275430104,0.6284499852728331,5,max_sweeps,1,137.150134,0.3415655166208236,0.8527949962954761,0.9264452739017988,0.029043793275430104,0.6284499852728331,5,max_sweeps
sample5,37,71,1,373.953225,0.18395207880708742,0.24996909077537133,0.908345058625574,0.013626110387955493,0.555024980548058,38,max_sweeps,1,243.457782,0.24909563598160867,0.9556716877897562,0.9241676223240806,0.03174202201830867,0.5947876673417445,16,max_sweeps
sample6,15,27,1,64.822916,0.2784769145620659,0.999669862333408,0.8898658088648932,0.169961386980186,0.6207835508776751,5,stalled,1,47.254945,0.26988128113017906,0.9998951484320874,0.892774446037321,0.20357830880606448,0.6272230382415883,2,realized
sample7,17,39,1,25.206007,0.45674184357323155,0.997924618417783,0.913050194015829,0.08824065209839653,0.6815535541237892,5,stalled,1,25.663890,0.45674184357323155,0.997924618417783,0.913050194015829,0.08824065209839653,0.6815535541237892,5,stalled
planar3tree10,10,24,1,3.775018,0.5543104405110435,0.9998960847190679,0.8819111809758777,0.11547256192234896,0.764270812552147,0,realized,1,3.636950,0.5543104405110435,0.9998960847190679,0.8819111809758777,0.11547256192234896,0.764270812552147,0,realized
planar3tree30,30,84,1,63.874682,0.3411945238114651,0.9999363961072153,0.9199580521561229,0.031489587540682935,0.7298801086721396,0,realized,1,63.846324,0.3411945238114651,0.9999363961072153,0.9199580521561229,0.031489587540682935,0.7298801086721396,0,realized
planar3tree100,100,294,1,576.070292,0.23527557093385398,0.9903174049034131,0.9495917494184203,0.009966633578746577,0.749568327058621,0,max_sweeps,1,531.938353,0.23527557093385398,0.9903174049034131,0.9495917494184203,0.009966633578746577,0.749568327058621,0,max_sweeps
