graph,variant,faceIters,angleIters,ok,runtimeMs,face,angle,tradeoff,objective,stopReason
sample1,current_12_80,12,80,1,6673.039885,0.8509637828014086,0.40578538189617985,0.5876296993718811,3.23973243651985,max-iters
sample2,current_12_80,12,80,1,777.996031,0.9356721394131766,0.37497708899426874,0.5923306636416795,2.9695644903420044,max-iters
sample3,current_12_80,12,80,1,341.601768,0.9916698503994769,0.5916700563548754,0.7659904413707063,0.1809351002627963,grad-converged
sample4,current_12_80,12,80,1,1338.601403,0.8931080877939224,0.36214995010698026,0.5687170205248913,1.3631777112812833,max-iters
sample5,current_12_80,12,80,1,693.692803,0.9215126167516915,0.4484345979481611,0.6428360131458121,0.8499349232863493,grad-converged
sample6,current_12_80,12,80,1,139.485805,0.9239634557167906,0.3188749981108314,0.5427972413306545,0.662095737166966,grad-converged
sample7,current_12_80,12,80,1,326.547693,0.836477908764939,0.38881415990044266,0.5702933064412723,1.1956698641508792,max-iters
planar3tree10,current_12_80,12,80,1,72.133575,0.8703313879090449,0.24884936542762215,0.46538308262431227,1.3337791912033543,grad-converged
planar3tree30,current_12_80,12,80,1,574.067716,0.9534487118007987,0.3035072048817987,0.5379391726922405,1.7957985703354713,max-iters
planar3tree100,current_12_80,12,80,1,6733.452812,0.892740518783169,0.2808174669471094,0.5006966458103528,4.327852248683747,max-iters
cycle20,current_12_80,12,80,1,31.255864,1,0.9,0.9486832980505138,0.03321474031682227,grad-converged
xtree30,current_12_80,12,80,1,505.801367,0.9610332730670949,0.5577009668104664,0.7320991637247961,0.26141007002525785,grad-converged
oct174,current_12_80,12,80,1,22145.672931,0.9612852293191004,0.29171202874652113,0.5295455263230344,4.06477397783091,max-iters
grid2x10,current_12_80,12,80,1,138.655029,0.9803692629691786,0.6034310028847165,0.769145764826695,0.22859604304613157,grad-converged
grid2x20,current_12_80,12,80,1,746.559941,0.9761573394103157,0.592042657205226,0.7602149597810259,0.2847580042143859,grad-converged
grid4x20,current_12_80,12,80,1,4011.295199,0.9972598405560319,0.6900022911983632,0.8295249091520859,0.1035179385543219,grad-converged
grid9x9,current_12_80,12,80,1,3987.933741,0.9961634548380609,0.7006323820427285,0.835430651979627,0.08317663062523999,grad-converged
randomplanar1,current_12_80,12,80,1,911.260835,0.557310315483966,0.37051280318210744,0.4544123757472599,2.887081425653609,max-iters
randomplanar2,current_12_80,12,80,1,2624.90682,0.7619142271507455,0.3353191573072485,0.505454683021724,3.1547066746209325,max-iters
randomplanar3,current_12_80,12,80,1,1722.643648,0.9229533020481078,0.3205104841735301,0.5438898874855069,2.2182238962846057,max-iters
randomplanar4,current_12_80,12,80,1,3770.63799,0.8851949339429703,0.4006375513442857,0.5955185394236509,2.8210811170867545,max-iters
randomplanar5,current_12_80,12,80,1,4321.424142,0.5757771822674075,0.2800052866403986,0.401522919597109,6.738561429465518,max-iters
sample1,test_20_180,20,180,1,11901.827814,0.9824408000567363,0.39645694351496896,0.6240957272525541,1.090869868949697,max-iters
sample2,test_20_180,20,180,1,860.83039,0.9490238179109527,0.3895002547334745,0.6079843902802526,2.7868528506273513,max-iters
sample3,test_20_180,20,180,1,410.271384,0.9916777901190896,0.5916700810053566,0.7659935237395775,0.18093510510338418,grad-converged
sample4,test_20_180,20,180,1,1830.499855,0.8921696823247626,0.35518044650084735,0.5629220426689902,1.3551384211167872,max-iters
sample5,test_20_180,20,180,1,911.494606,0.921513165171719,0.4484285403240087,0.6428318625794082,0.8499349172160839,grad-converged
sample6,test_20_180,20,180,1,150.400939,0.9239662104129165,0.3188760098089095,0.5427989115452703,0.6620957370278081,grad-converged
sample7,test_20_180,20,180,1,395.828378,0.8365746684603099,0.3885684001177374,0.570146016826084,1.195501785217669,grad-converged
planar3tree10,test_20_180,20,180,1,47.625721,0.8703320770732811,0.24884961354057455,0.465383498881999,1.3337791920121502,grad-converged
planar3tree30,test_20_180,20,180,1,609.869857,0.9576894632940065,0.3031207487860791,0.5387908195378031,1.785654050859293,grad-converged
planar3tree100,test_20_180,20,180,1,10869.3311,0.9575191441990814,0.3100322848519149,0.5448502987660844,2.480741954943231,max-iters
cycle20,test_20_180,20,180,1,31.480563,1,0.9,0.9486832980505138,0.03321474031682227,grad-converged
xtree30,test_20_180,20,180,1,496.84711,0.9610333458341291,0.5576998127571983,0.7320984339725892,0.26141007333277744,grad-converged
oct174,test_20_180,20,180,1,36954.629918,0.9827358397961335,0.2981177179996385,0.5412679243743173,2.285871023572213,max-iters
grid2x10,test_20_180,20,180,1,174.570835,0.9803761237120899,0.603431950714078,0.7691490601730543,0.22859604251996415,grad-converged
grid2x20,test_20_180,20,180,1,790.471202,0.976158751983255,0.5920442495959375,0.7602165321830571,0.2847580015003459,grad-converged
grid4x20,test_20_180,20,180,1,4766.143884,0.9972595684724811,0.6900030100380424,0.829525228088484,0.10351793941821852,grad-converged
grid9x9,test_20_180,20,180,1,4376.648376,0.9961633087816407,0.700633116699048,0.8354310287348184,0.0831766312294694,grad-converged
randomplanar1,test_20_180,20,180,1,1076.248647,0.6529147297717668,0.3604638844366863,0.4851310953747043,2.412842160561091,max-iters
randomplanar2,test_20_180,20,180,1,3920.07066,0.7776706024235251,0.3453843742666134,0.5182617817315777,2.863119672031067,max-iters
randomplanar3,test_20_180,20,180,1,2939.206869,0.9605695331546101,0.3187001445848193,0.5532934565853338,1.9870259050686139,max-iters
randomplanar4,test_20_180,20,180,1,4976.385763,0.8904162070986985,0.40382284159225335,0.5996418955930221,2.7938959322882697,max-iters
randomplanar5,test_20_180,20,180,1,8272.177069,0.9571309132896457,0.31065815301835686,0.545289392634163,3.5243928659571884,max-iters
