graph,variant,ok,runtimeMs,face,angle,tradeoff,objective,stopReason,selectedStage
sample1,current,1,7981.471192,0.8509637828014086,0.40578538189617985,0.5876296993718811,3.23973243651985,max-iters,angle
sample1,seed->face->angle,1,6280.005692,0.8509637828014086,0.40578538189617985,0.5876296993718811,3.23973243651985,max-iters,
sample1,seed->face->joint,1,2478.722017,0.5513004661200135,0.4318013211924492,0.4879060049278292,1.3404055781221873,max-iters,
sample2,current,1,1126.300948,0.9356721394131766,0.37497708899426874,0.5923306636416795,2.9695644903420044,max-iters,angle
sample2,seed->face->angle,1,824.779005,0.9356721394131766,0.37497708899426874,0.5923306636416795,2.9695644903420044,max-iters,
sample2,seed->face->joint,1,247.602675,0.8051074955817328,0.2511819396885763,0.4496981903432918,2.4861685439812957,max-iters,
sample3,current,1,535.83786,0.9916698503994769,0.5916700563548754,0.7659904413707063,0.1809351002627963,grad-converged,angle
sample3,seed->face->angle,1,370.847103,0.9916698503994769,0.5916700563548754,0.7659904413707063,0.1809351002627963,grad-converged,
sample3,seed->face->joint,1,217.04939,0.9552939960916667,0.5917408183128936,0.7518553391289291,0.23807984889326408,max-iters,
sample4,current,1,1887.984285,0.7683245937389501,0.47086718147572393,0.6014805366030892,0.8465421793097668,max-iters,joint
sample4,seed->face->angle,1,1437.111812,0.8931080877939224,0.36214995010698026,0.5687170205248913,1.3631777112812833,max-iters,
sample4,seed->face->joint,1,564.367942,0.7683245937389501,0.47086718147572393,0.6014805366030892,0.8465421793097668,max-iters,
sample5,current,1,1193.254747,0.8716773187178295,0.4918980740673867,0.6548101971453437,0.5306251532946655,max-iters,joint
sample5,seed->face->angle,1,693.96939,0.9215126167516915,0.4484345979481611,0.6428360131458121,0.8499349232863493,grad-converged,
sample5,seed->face->joint,1,590.717879,0.8706121063708194,0.4489944715323533,0.6252199793749676,0.4028792273624792,max-iters,
sample6,current,1,208.296821,0.9239634557167906,0.3188749981108314,0.5427972413306545,0.662095737166966,grad-converged,angle
sample6,seed->face->angle,1,139.429096,0.9239634557167906,0.3188749981108314,0.5427972413306545,0.662095737166966,grad-converged,
sample6,seed->face->joint,1,72.825151,0.7953707143041183,0.32045819821777766,0.5048594517497762,0.7144338242826433,max-iters,
sample7,current,1,446.400029,0.836477908764939,0.38881415990044266,0.5702933064412723,1.1956698641508792,max-iters,angle
sample7,seed->face->angle,1,329.491175,0.836477908764939,0.38881415990044266,0.5702933064412723,1.1956698641508792,max-iters,
sample7,seed->face->joint,1,140.964123,0.49624641441654027,0.40665288698122004,0.44922159017189395,1.1820390622090269,max-iters,
planar3tree10,current,1,106.247265,0.8703313879090449,0.24884936542762215,0.46538308262431227,1.3337791912033543,grad-converged,angle
planar3tree10,seed->face->angle,1,77.976694,0.8703313879090449,0.24884936542762215,0.46538308262431227,1.3337791912033543,grad-converged,
planar3tree10,seed->face->joint,1,31.15613,0.571906782211236,0.25467961843395104,0.38164512452453303,1.2950561682190536,max-iters,
planar3tree30,current,1,858.962743,0.9534487118007987,0.3035072048817987,0.5379391726922405,1.7957985703354713,max-iters,angle
planar3tree30,seed->face->angle,1,640.438784,0.9534487118007987,0.3035072048817987,0.5379391726922405,1.7957985703354713,max-iters,
planar3tree30,seed->face->joint,1,256.161178,0.48871763296951776,0.30888603392272296,0.38853320495944144,1.9235341376996629,max-iters,
planar3tree100,current,1,9457.603615,0.892740518783169,0.2808174669471094,0.5006966458103528,4.327852248683747,max-iters,angle
planar3tree100,seed->face->angle,1,6283.129659,0.892740518783169,0.2808174669471094,0.5006966458103528,4.327852248683747,max-iters,
planar3tree100,seed->face->joint,1,2553.786487,0.4818756256298178,0.1978367364121003,0.30875994094302806,3.634388220515642,max-iters,
cycle20,current,1,157.287696,1,0.9,0.9486832980505138,0.03321474031682227,grad-converged,angle
cycle20,seed->face->angle,1,28.208166,1,0.9,0.9486832980505138,0.03321474031682227,grad-converged,
cycle20,seed->face->joint,1,137.511853,1,0.9,0.9486832980505138,0.015264200253415069,movement-converged,
xtree30,current,1,1037.793625,0.9610332730670949,0.5577009668104664,0.7320991637247961,0.26141007002525785,grad-converged,angle
xtree30,seed->face->angle,1,500.957827,0.9610332730670949,0.5577009668104664,0.7320991637247961,0.26141007002525785,grad-converged,
xtree30,seed->face->joint,1,624.131787,0.9562933495432848,0.5525066967002975,0.7268827138078214,0.22377506379994608,max-iters,
oct174,current,1,30383.067588,0.9612852293191004,0.29171202874652113,0.5295455263230344,4.06477397783091,max-iters,angle
oct174,seed->face->angle,1,20934.700079,0.9612852293191004,0.29171202874652113,0.5295455263230344,4.06477397783091,max-iters,
oct174,seed->face->joint,1,7888.57053,0.8663747686295469,0.32186429790858073,0.5280673315313665,4.083386466549315,max-iters,
grid2x10,current,1,385.766599,0.9659292344558817,0.6177881006242709,0.772489214870962,0.16889647622544687,max-iters,joint
grid2x10,seed->face->angle,1,136.611114,0.9803692629691786,0.6034310028847165,0.769145764826695,0.22859604304613157,grad-converged,
grid2x10,seed->face->joint,1,270.277016,0.9659292344558817,0.6177881006242709,0.772489214870962,0.16889647622544687,max-iters,
grid2x20,current,1,1454.216002,0.9663743319062612,0.6270741331741796,0.7784525332362248,0.17029788143373992,max-iters,joint
grid2x20,seed->face->angle,1,791.942283,0.9761573394103157,0.592042657205226,0.7602149597810259,0.2847580042143859,grad-converged,
grid2x20,seed->face->joint,1,982.59132,0.9663743319062612,0.6270741331741796,0.7784525332362248,0.17029788143373992,max-iters,
grid4x20,current,1,6162.280831,0.9908714426052961,0.6965295436702525,0.8307654505055875,0.08323456561448754,max-iters,joint
grid4x20,seed->face->angle,1,3941.316192,0.9972598405560319,0.6900022911983632,0.8295249091520859,0.1035179385543219,grad-converged,
grid4x20,seed->face->joint,1,3414.050662,0.9859299099784052,0.698057446502059,0.8295997320331839,0.08042434544653568,max-iters,
