dataset,graph,n,m,algorithm,algorithmLabel,runtimeMs,ok,message,breakageType,missingMetrics,isPlane,angularResolution,aspectRatio,convexity,edgeLengthDeviation,edgeRatio,edgeOrthogonality,face,nodeUniformity,alignment,spacing
sample_graphs,sample1,50,96,edgebalancer,EdgeBalancer,280.000074,1,"Applied EdgeBalancer (+51 dummy vertices, 56 iters, line-search-failed, edge deviation 0.812, obj 1.836)",ok,,1,0.1048955625206136,0.9986048462902437,0.2127659574468085,0.8123600687285454,0.14991997501315543,0.4874382909037287,0.9548725194496723,0.5272727272727273,0.45913433071487786,0.6252219427504131
sample_graphs,sample2,30,82,edgebalancer,EdgeBalancer,83.499041,1,"Applied EdgeBalancer (+5 dummy vertices, 48 iters, step-converged, edge deviation 0.689, obj 2.991)",ok,,1,0.09103414482147154,0.991837071341079,1,0.6894104084519319,0.15325025626802768,0.460483255641437,0.868549664295165,0.8275862068965517,0.5219722455845248,0.7438235882495832
sample_graphs,sample3,20,30,edgebalancer,EdgeBalancer,49.854619,1,"Applied EdgeBalancer (+16 dummy vertices, 19 iters, step-converged, edge deviation 0.704, obj 2.350)",ok,,1,0.6773377915453194,0.9510406554363275,0.5454545454545454,0.7035270875123977,0.31361355622708753,0.507493457651992,0.982199685744813,0.7894736842105263,0.4506363949088409,0.9675540640524317
sample_graphs,sample4,42,113,edgebalancer,EdgeBalancer,119.130764,1,"Applied EdgeBalancer (+10 dummy vertices, 39 iters, step-converged, edge deviation 0.645, obj 3.492)",ok,,1,0.20678681715444347,0.9836271064190519,0.9722222222222222,0.645283902345129,0.0825258955212424,0.41159685485433384,0.913150494483423,0.6097560975609756,0.5658536585365854,0.746193959220786
sample_graphs,sample5,37,71,edgebalancer,EdgeBalancer,129.12726,1,"Applied EdgeBalancer (+24 dummy vertices, 66 iters, step-converged, edge deviation 0.719, obj 2.738)",ok,,1,0.3519629000391083,0.9374364012879893,0.5714285714285714,0.7191614401867547,0.17443423495359825,0.5097840743696123,0.9105495177427746,0.6585365853658536,0.46550578628204226,0.7094953140884052
sample_graphs,sample6,15,27,edgebalancer,EdgeBalancer,45.801073,1,"Applied EdgeBalancer (+14 dummy vertices, 30 iters, line-search-failed, edge deviation 0.880, obj 1.389)",ok,,1,0.48808959355453985,0.8634657740783422,0.9230769230769231,0.8801254619430194,0.46829003939852304,0.49778667820836386,0.8556171029833597,0.7857142857142857,0.6061680255228643,0.7934072934431414
sample_graphs,sample7,17,39,edgebalancer,EdgeBalancer,69.060577,1,"Applied EdgeBalancer (+9 dummy vertices, 53 iters, step-converged, edge deviation 0.727, obj 2.207)",ok,,1,0.25368104289549714,0.9881480478143363,0.8260869565217391,0.7273209617175387,0.2747188662680855,0.5902036835063088,0.8792333973317871,0.631578947368421,0.5131336405529954,0.6966899158636395
sample_graphs,planar3tree10,10,24,edgebalancer,EdgeBalancer,45.119716,1,"Applied EdgeBalancer (+3 dummy vertices, 35 iters, step-converged, edge deviation 0.700, obj 2.378)",ok,,1,0.19593498011541693,0.8657084985495438,1,0.6998778636825842,0.23911399320819388,0.4785529592465614,0.7982595034773421,0.5454545454545454,0.3670634920634922,0.7888734371808617
sample_graphs,planar3tree30,30,84,edgebalancer,EdgeBalancer,73.400837,1,"Applied EdgeBalancer (+3 dummy vertices, 26 iters, line-search-failed, edge deviation 0.667, obj 3.025)",ok,,1,0.12319369951818739,0.861330816464684,1,0.6665251332501612,0.11708798607921014,0.543507845756223,0.8882438368898813,0.5517241379310345,0.48850574712643685,0.7016101742891994
sample_graphs,planar3tree100,100,294,edgebalancer,EdgeBalancer,402.107787,1,"Applied EdgeBalancer (+3 dummy vertices, 60 iters, step-converged, edge deviation 0.635, obj 3.946)",ok,,1,0.09843544372717682,0.8663846013224233,1,0.634865101290414,0.03341211405650469,0.5757990412736695,0.9524145112201879,0.5454545454545454,0.5662687480869297,0.7232588265837228
