graph,changedMetrics,biggestMetric,biggestDelta,angularResolution,aspectRatio,convexity,edgeLengthDeviation,edgeRatio,edgeOrthogonality,face,nodeUniformity,alignment,spacing
cycle20,0,,0,0,0,0,0,0,0,0,0,0,0
grid2x10,0,,0,0,0,0,0,0,0,0,0,0,0
grid2x20,0,,0,0,0,0,0,0,0,0,0,0,0
grid4x20,0,,0,0,0,0,0,0,0,0,0,0,0
grid9x9,0,,0,0,0,0,0,0,0,0,0,0,0
oct174,9,angularResolution,0.041228333107399845,0.041228333107399845,-0.00020777599435328753,0,-0.004160716290562916,-0.0036924995843825234,0.02038021147605973,-0.0076433201466155065,-0.011049723756906493,-0.037819640071631355,-0.004261562244287753
planar3tree10,0,,0,0,0,0,0,0,0,0,0,0,0
planar3tree100,0,,0,0,0,0,0,0,0,0,0,0,0
planar3tree30,0,,0,0,0,0,0,0,0,0,0,0,0
randomplanar1,0,,0,0,0,0,0,0,0,0,0,0,0
randomplanar2,0,,0,0,0,0,0,0,0,0,0,0,0
randomplanar3,0,,0,0,0,0,0,0,0,0,0,0,0
randomplanar4,0,,0,0,0,0,0,0,0,0,0,0,0
randomplanar5,0,,0,1.1657341758564144e-15,1.0658141036401503e-14,0,1.7763568394002505e-15,2.282896094385478e-14,1.2101430968414206e-14,-1.2656542480726785e-14,0,0,4.063416270128073e-14
sample1,0,,0,1.8492707365425076e-12,-9.625633623500107e-14,0,-9.53570555850547e-13,-1.5483475612754205e-11,-1.8027801473863292e-12,2.8135271890050717e-12,0,0,-8.003042673010441e-12
sample2,8,spacing,-0.06922667322509368,0.0007360347767951525,-0.003524310327300828,0,0.00016236326151941594,0.004565801258276853,-0.002893845367935022,-0.0005174047607441334,0,-0.06453882927099053,-0.06922667322509368
sample3,7,aspectRatio,-0.00003825731483564354,-0.000009447086965708174,-0.00003825731483564354,0,4.005657087136072e-7,-0.00000928987513487689,-0.00000874006380879866,-5.062275516554138e-7,0,0,0.000035752554419454796
sample4,0,,0,-1.1960432644286811e-12,-7.475131624801179e-13,0,1.5187850976872141e-13,-8.243822291476022e-13,5.343503417520878e-13,-1.192379528447418e-13,0,0,-1.0066392164276294e-12
sample5,0,,0,-5.551115123125783e-17,-9.992007221626409e-16,0,0,-1.7486012637846216e-15,0,1.1102230246251565e-16,0,0,1.7763568394002505e-15
sample6,0,,0,-1.7319479184152442e-14,-1.0580425424677742e-13,0,3.6193270602780103e-14,-2.208788707491749e-13,-1.2401191185062999e-13,-6.94999613415348e-14,0,0,-1.2223555501122974e-13
sample7,1,spacing,0.011355564022639597,-2.7144952952085077e-14,6.504574656673867e-12,0,1.9817480989559044e-13,3.0331293032759277e-13,2.010502875293696e-12,3.7614356074300304e-13,0,0,0.011355564022639597
xtree30,0,,0,2.220446049250313e-16,1.1102230246251565e-15,0,2.220446049250313e-16,0,1.3322676295501878e-15,0,0,0,6.661338147750939e-16
