metricA,labelA,metricB,labelB,n,pearson,spearman
edgeLengthDeviation,Edge-Length Deviation,edgeRatio,Edge-Length Ratio,79385,0.862998,0.855848
edgeRatio,Edge-Length Ratio,spacing,Spacing Uniformity,79385,0.678726,0.760456
edgeLengthDeviation,Edge-Length Deviation,spacing,Spacing Uniformity,79385,0.761847,0.760195
nodeUniformity,Node Uniformity,spacing,Spacing Uniformity,79385,0.692791,0.692762
edgeLengthDeviation,Edge-Length Deviation,nodeUniformity,Node Uniformity,79385,0.669284,0.692137
edgeRatio,Edge-Length Ratio,nodeUniformity,Node Uniformity,79385,0.500432,0.625619
edgeLengthDeviation,Edge-Length Deviation,alignment,Axis Alignment,79385,-0.482807,-0.494832
edgeRatio,Edge-Length Ratio,alignment,Axis Alignment,79385,-0.404186,-0.493675
alignment,Axis Alignment,spacing,Spacing Uniformity,79385,-0.432647,-0.442378
face,Face-Area Uniformity,spacing,Spacing Uniformity,79385,0.515640,0.437789
nodeUniformity,Node Uniformity,alignment,Axis Alignment,79385,-0.432250,-0.431695
edgeRatio,Edge-Length Ratio,face,Face-Area Uniformity,79385,0.333733,0.431037
convexity,Convexity,edgeRatio,Edge-Length Ratio,79385,0.412735,0.390900
edgeLengthDeviation,Edge-Length Deviation,face,Face-Area Uniformity,79385,0.405977,0.373732
convexity,Convexity,edgeLengthDeviation,Edge-Length Deviation,79385,0.384282,0.355669
face,Face-Area Uniformity,nodeUniformity,Node Uniformity,79385,0.424364,0.330163
angularResolution,Angular Resolution,face,Face-Area Uniformity,79385,0.229573,0.327969
convexity,Convexity,alignment,Axis Alignment,79385,-0.343166,-0.305119
convexity,Convexity,spacing,Spacing Uniformity,79385,0.341091,0.299387
aspectRatio,Aspect Ratio,nodeUniformity,Node Uniformity,79385,0.297123,0.274397
face,Face-Area Uniformity,alignment,Axis Alignment,79385,-0.265556,-0.267223
convexity,Convexity,face,Face-Area Uniformity,79385,0.264898,0.264880
convexity,Convexity,nodeUniformity,Node Uniformity,79385,0.242281,0.214573
aspectRatio,Aspect Ratio,edgeLengthDeviation,Edge-Length Deviation,79385,0.243574,0.207768
aspectRatio,Aspect Ratio,spacing,Spacing Uniformity,79385,0.161707,0.180818
aspectRatio,Aspect Ratio,alignment,Axis Alignment,79385,-0.131260,-0.112250
aspectRatio,Aspect Ratio,edgeRatio,Edge-Length Ratio,79385,0.087228,0.108066
angularResolution,Angular Resolution,aspectRatio,Aspect Ratio,79385,0.092484,0.100013
aspectRatio,Aspect Ratio,face,Face-Area Uniformity,79385,0.095491,0.096287
edgeOrthogonality,Edge Orthogonality,alignment,Axis Alignment,79385,0.121041,0.079886
angularResolution,Angular Resolution,edgeLengthDeviation,Edge-Length Deviation,79385,0.135057,0.062306
aspectRatio,Aspect Ratio,convexity,Convexity,79385,0.031077,0.051964
edgeOrthogonality,Edge Orthogonality,face,Face-Area Uniformity,79385,0.035535,0.046401
angularResolution,Angular Resolution,edgeRatio,Edge-Length Ratio,79385,0.178744,0.041196
angularResolution,Angular Resolution,alignment,Axis Alignment,79385,-0.063930,-0.030484
angularResolution,Angular Resolution,convexity,Convexity,79385,0.093707,0.028334
angularResolution,Angular Resolution,nodeUniformity,Node Uniformity,79385,-0.005967,-0.027721
convexity,Convexity,edgeOrthogonality,Edge Orthogonality,79385,0.023940,0.026789
edgeOrthogonality,Edge Orthogonality,nodeUniformity,Node Uniformity,79385,0.012941,0.021056
angularResolution,Angular Resolution,spacing,Spacing Uniformity,79385,0.073524,0.019880
edgeLengthDeviation,Edge-Length Deviation,edgeOrthogonality,Edge Orthogonality,79385,0.014627,0.018862
edgeRatio,Edge-Length Ratio,edgeOrthogonality,Edge Orthogonality,79385,0.012424,0.016676
aspectRatio,Aspect Ratio,edgeOrthogonality,Edge Orthogonality,79385,-0.042334,-0.006973
edgeOrthogonality,Edge Orthogonality,spacing,Spacing Uniformity,79385,-0.001751,0.005016
angularResolution,Angular Resolution,edgeOrthogonality,Edge Orthogonality,79385,0.024718,0.000669
