metric,Angular Resolution,Aspect Ratio,Convexity,Edge-Length Deviation,Edge-Length Ratio,Edge Orthogonality,Face-Area Uniformity,Node Uniformity,Axis Alignment,Spacing Uniformity
Angular Resolution,1.000000,0.100013,0.028334,0.062306,0.041196,0.000669,0.327969,-0.027721,-0.030484,0.019880
Aspect Ratio,0.100013,1.000000,0.051964,0.207768,0.108066,-0.006973,0.096287,0.274397,-0.112250,0.180818
Convexity,0.028334,0.051964,1.000000,0.355669,0.390900,0.026789,0.264880,0.214573,-0.305119,0.299387
Edge-Length Deviation,0.062306,0.207768,0.355669,1.000000,0.855848,0.018862,0.373732,0.692137,-0.494832,0.760195
Edge-Length Ratio,0.041196,0.108066,0.390900,0.855848,1.000000,0.016676,0.431037,0.625619,-0.493675,0.760456
Edge Orthogonality,0.000669,-0.006973,0.026789,0.018862,0.016676,1.000000,0.046401,0.021056,0.079886,0.005016
Face-Area Uniformity,0.327969,0.096287,0.264880,0.373732,0.431037,0.046401,1.000000,0.330163,-0.267223,0.437789
Node Uniformity,-0.027721,0.274397,0.214573,0.692137,0.625619,0.021056,0.330163,1.000000,-0.431695,0.692762
Axis Alignment,-0.030484,-0.112250,-0.305119,-0.494832,-0.493675,0.079886,-0.267223,-0.431695,1.000000,-0.442378
Spacing Uniformity,0.019880,0.180818,0.299387,0.760195,0.760456,0.005016,0.437789,0.692762,-0.442378,1.000000
