dataset,graph,n,m,algorithm,algorithmLabel,runtimeMs,ok,message,breakageType,missingMetrics,isPlane,angularResolution,aspectRatio,convexity,edgeLengthDeviation,edgeRatio,edgeOrthogonality,face,nodeUniformity,alignment,spacing
north,g_10_0,10,11,tutte,Tutte,7.373721,1,"Applied Tutte (13-vertex outer face, 1 iters)",ok,,1,0.5066612279961612,0.8211082668251479,0.5,0.6988440180183216,0.04417019656147384,0.6611313088088926,0.9132352064055533,0.4545454545454545,0.4938271604938273,0.6255673907022502
north,g_10_1,10,11,tutte,Tutte,7.357725,1,"Applied Tutte (14-vertex outer face, 1 iters)",ok,,1,0.736805619077674,0.44548146371107294,0.5,0.9059115585531589,0.6717916898087472,0.7041955620174905,0.5957667283034034,0.5454545454545454,0.6635802469135803,0.8326710504993861
north,g_10_11,10,14,tutte,Tutte,7.476291,1,"Applied Tutte (8-vertex outer face, 1 iters)",ok,,1,0.6000085668549102,0.7125145697270076,0.2,0.7282922323243538,0.3228859533988329,0.732624785079456,0.5179275226327316,0.4545454545454546,0.7407407407407409,0.5391320113432498
north,g_10_12,10,10,tutte,Tutte,6.774786,1,"Applied Tutte (12-vertex outer face, 1 iters)",ok,,1,0.8099019905727685,0.9467181938645292,1,0.738449114515739,0.125434958325581,0.5555062370569115,1,0.4545454545454545,0.5113636363636365,0.7324467317792892
north,g_10_13,10,10,tutte,Tutte,6.831322,1,"Applied Tutte (16-vertex outer face, 1 iters)",ok,,1,0.7724787916201761,0.992462626731046,1,0.6412095465861429,0.08778004830897834,0.37987743332017687,1,0.4545454545454545,0.4861111111111113,0.6193402454203301
north,g_10_14,10,10,tutte,Tutte,7.681243,1,"Applied Tutte (14-vertex outer face, 1 iters)",ok,,1,0.786409034206303,0.9895411142556805,1,0.6531968451590274,0.09817552140021421,0.6992054106093639,1,0.4545454545454546,0.5246913580246915,0.5870281568733492
north,g_10_15,10,9,tutte,Tutte,6.465956,1,"Applied Tutte (18-vertex outer face, 1 iters)",ok,,1,0.9658105792613656,0.7058113592465796,1,0.5598043229945092,0.08056427504136135,0.5611340170290808,1,0.2727272727272726,0.4861111111111113,0.49794910448707075
north,g_10_16,10,9,tutte,Tutte,6.410373,1,"Applied Tutte (18-vertex outer face, 1 iters)",ok,,1,0.9658105792613657,0.7058113592465798,1,0.5598043229945093,0.08056427504136135,0.5611340170290811,1,0.2727272727272726,0.4861111111111113,0.49794910448707086
north,g_10_17,10,9,tutte,Tutte,6.376891,1,"Applied Tutte (18-vertex outer face, 1 iters)",ok,,1,0.8739988794161843,0.9825269322807004,1,0.8057165025881852,0.3319462679563257,0.3146279251045099,1,0.6363636363636362,0.1851851851851854,0.7203688997188351
north,g_10_2,10,11,tutte,Tutte,7.200709,1,"Applied Tutte (14-vertex outer face, 1 iters)",ok,,1,0.7368056190776742,0.7561234948313662,0.5,0.9059115585531591,0.671791689808747,0.45529927774103773,0.595766728303408,0.5454545454545454,0.4365079365079366,0.7116495030760629
