dataset,graph,n,m,algorithm,algorithmLabel,runtimeMs,ok,message,breakageType,missingMetrics,isPlane,angularResolution,aspectRatio,convexity,edgeLengthDeviation,edgeRatio,edgeOrthogonality,face,nodeUniformity,alignment,spacing
sample_graphs,sample1,50,96,facebalancer,FaceBalancer,235.117203,1,"Applied FaceBalancer (196 bounded faces, +51 dummy vertices, 80 iters, max-iters, obj 7.633)",ok,,1,0.2145108300931068,0.9995231266838228,0.6382978723404256,0.6846021350478263,0.04518136526843836,0.5775900652533374,0.9977063744374671,0.5454545454545454,0.513187731232844,0.773823583787548
sample_graphs,sample2,30,82,facebalancer,FaceBalancer,94.092492,1,"Applied FaceBalancer (64 bounded faces, +5 dummy vertices, 80 iters, max-iters, obj 3.129)",ok,,1,0.2407837237960081,0.9999510595175227,1,0.650510504061323,0.05064291624333779,0.5499080945022673,0.9647188594975998,0.7586206896551724,0.3879310344827587,0.7245637097895054
sample_graphs,sample3,20,30,facebalancer,FaceBalancer,92.531043,1,"Applied FaceBalancer (65 bounded faces, +16 dummy vertices, 80 iters, max-iters, obj 2.779)",ok,,1,0.49890041189279943,0.9526273427909339,0.5454545454545454,0.7160729430524487,0.2772924600993748,0.5035732752874507,0.9952608751339793,0.8421052631578947,0.5406049059299833,0.9135761109773657
sample_graphs,sample4,42,113,facebalancer,FaceBalancer,124.056384,1,"Applied FaceBalancer (97 bounded faces, +10 dummy vertices, 80 iters, max-iters, obj 76.901)",ok,,1,0.2812400001129411,0.9643765821258118,0.9861111111111112,0.6312545314740357,0.027369463902081136,0.5128746643933882,0.9161722744098266,0.5853658536585367,0.5262130937098844,0.701727071171215
sample_graphs,sample5,37,71,facebalancer,FaceBalancer,117.81544,1,"Applied FaceBalancer (111 bounded faces, +24 dummy vertices, 80 iters, max-iters, obj 63.949)",ok,,1,0.42172043207627774,0.9712006202214913,0.5714285714285714,0.6547679746545714,0.048240661176327485,0.4989471870055052,0.8896581873335612,0.5853658536585364,0.6101739688290126,0.718226255139508
sample_graphs,sample6,15,27,facebalancer,FaceBalancer,54.923841,1,"Applied FaceBalancer (43 bounded faces, +14 dummy vertices, 46 iters, step-converged, obj 12.294)",ok,,1,0.4031968749139391,0.9822936966866117,0.9230769230769231,0.7563583969485076,0.23087233903713836,0.4729985422526556,0.9148108337220382,0.7857142857142857,0.4967159277504106,0.8410223664523668
sample_graphs,sample7,17,39,facebalancer,FaceBalancer,59.768533,1,"Applied FaceBalancer (46 bounded faces, +9 dummy vertices, 45 iters, step-converged, obj 2.342)",ok,,1,0.47893489375014947,0.9993091217648498,0.8260869565217391,0.6969342580272583,0.1177540159608809,0.5923629214821546,0.9161270725986296,0.5789473684210527,0.4366786140979689,0.7590450232550018
sample_graphs,planar3tree10,10,24,facebalancer,FaceBalancer,52.396715,1,"Applied FaceBalancer (21 bounded faces, +3 dummy vertices, 47 iters, step-converged, obj 1.189)",ok,,1,0.4158995610847639,0.8708840400806257,1,0.6835541418768332,0.1159655438641014,0.5024068024381441,0.9944991118899215,0.4545454545454546,0.45524691358024705,0.7659593699968401
sample_graphs,planar3tree30,30,84,facebalancer,FaceBalancer,83.74866,1,"Applied FaceBalancer (61 bounded faces, +3 dummy vertices, 63 iters, step-converged, obj 2.872)",ok,,1,0.20079887299935423,0.8665189827865124,1,0.6371111350174528,0.03170883778556236,0.43137035040466953,0.9956226406038728,0.5172413793103448,0.556009945691291,0.7374159200806633
sample_graphs,planar3tree100,100,294,facebalancer,FaceBalancer,250.514707,1,"Applied FaceBalancer (201 bounded faces, +3 dummy vertices, 80 iters, max-iters, obj 6.822)",ok,,1,0.14544869592644707,0.8660322221435856,1,0.614451489344777,0.0089750486539436,0.5530296373399961,0.9974745424970117,0.5252525252525253,0.5496382971630496,0.7698554255057956
