graph,changedMetrics,biggestMetric,biggestDelta,angularResolution,aspectRatio,convexity,edgeLengthDeviation,edgeRatio,edgeOrthogonality,face,nodeUniformity,alignment,spacing
cycle20,0,,0,0,0,0,0,0,0,0,0,0,0
grid2x10,0,,0,0,0,0,0,0,0,0,0,0,0
grid2x20,0,,0,0,0,0,0,0,0,0,0,0,0
grid4x20,0,,0,0,0,0,0,0,0,0,0,0,0
grid9x9,0,,0,0,0,0,0,0,0,0,0,0,0
oct174,9,nodeUniformity,-0.0055248618784528025,-0.0011932731925061446,-0.0029017216472780882,0,0.000985729744591879,-0.00019026618320796694,0.002419236785280887,0.0001238983872315913,-0.0055248618784528025,0.003874466495346063,-0.0005589037260416152
planar3tree10,9,face,0.18004822596109726,0.13619075240205802,-0.11690872048433598,0,0.02162479246184157,0.11523238018305415,-0.04837554245772435,0.18004822596109726,-0.09090909090909083,-0.11574074074074081,0.1727460823511251
planar3tree100,0,,0,0,0,0,0,0,0,0,0,0,0
planar3tree30,0,,0,0,0,0,0,0,0,0,0,0,0
randomplanar1,0,,0,0,0,0,0,0,0,0,0,0,0
randomplanar2,0,,0,0,0,0,0,0,0,0,0,0,0
randomplanar3,0,,0,0,0,0,0,0,0,0,0,0,0
randomplanar4,0,,0,0,0,0,0,0,0,0,0,0,0
randomplanar5,0,,0,0,0,0,0,0,0,0,0,0,0
sample1,9,alignment,-0.05237163469100281,0.0012003738770912098,-0.000029658429412604548,0.04255319148936165,-0.005866307860476594,0.0062063056608065645,0.028630321541603387,0.0008123372510737692,0,-0.05237163469100281,-0.0013700453872186324
sample2,9,alignment,-0.06412107511988596,-0.00350475938254477,-0.000011255931374631878,0,0.0006448089592546724,-0.00018858285727663127,0.00143803560855571,0.0008008213880286164,0.034482758620689724,-0.06412107511988596,0.018629350021378666
sample3,8,angularResolution,0.16791441486070613,0.16791441486070613,0.00004556762852048202,0,0.01723681939231181,-0.003634854060820897,-0.002743676753015567,-0.0065287197708318034,0,0.08409180846853981,-0.051785784080521924
sample4,8,alignment,0.05501879431918588,0.0063192691566449355,-0.0011256124172679405,0,-0.0014198397186655498,-0.0005733083275190065,0.007540023042088673,-0.00047898979113780715,0,0.05501879431918588,-0.0005228879892152927
sample5,0,,0,0,0,0,0,0,0,0,0,0,0
sample6,0,,0,5.569433803032098e-13,1.1196599203344704e-12,0,-2.8688162956314045e-13,-6.152856002472618e-13,2.7833291227352674e-13,9.33142452197444e-13,0,0,-1.7208456881689926e-12
sample7,0,,0,-1.7763568394002505e-15,6.439293542825908e-15,0,-9.992007221626409e-16,-9.020562075079397e-16,5.551115123125783e-16,-5.551115123125783e-16,0,0,-2.4424906541753444e-15
xtree30,0,,0,0,0,0,0,0,0,0,0,0,0
