graph,angularResolution,aspectRatio,convexity,edgeLengthDeviation,edgeRatio,edgeOrthogonality,face,nodeUniformity,alignment,spacing,changedMetricCount,biggestMetric,biggestDelta
sample1,0.05555091452930566,0.0011231176080943595,0.17021276595744683,-0.004057649233703664,0.005462198806167044,0.019396604877033097,0.006543332339576491,-0.018181818181818077,0.02403372928446157,-0.07070898853947694,10,convexity,0.17021276595744683
sample2,0.015017380992412344,0.0002283343258359105,0,-0.0035699058625836555,0.0037881301331413805,-0.03204611971792004,0.015496786749844227,0,-0.0506783321625901,-0.000042850298217933513,8,alignment,-0.0506783321625901
sample3,-0.0028861727259248404,-0.0011850712920519202,0,0.001009292221631486,-0.00683456998288634,-0.0024244458094410115,0.0002422097761083375,0,0,0.0008196628993478727,7,edgeRatio,-0.00683456998288634
sample4,0.056610389331487765,0.017138909171660832,0.01388888888888884,-0.005437440211942479,-0.005912303621262081,-0.03405645731431206,0.009601105985931113,0.024390243902439046,-0.18103392419123443,-0.02246145457797699,10,alignment,-0.18103392419123443
sample5,0.004054940570986321,-0.013706000196089696,0,-0.0008871838094207662,0.008484257128971544,0.010219254601232408,-0.000941826974865112,0,0.005142363458793486,0.006441522400746691,8,aspectRatio,-0.013706000196089696
sample6,-0.012694236276765025,-0.0010643871088306112,0,-0.0012927479377126128,0.019099663861967126,-0.02163694496954449,-0.005131916985003926,0,-0.07104964001515723,0.0004730340557022039,8,alignment,-0.07104964001515723
sample7,-0.0716505805048514,0.00013259560249034852,0,-0.0005597958227063771,-0.008732382569662647,0.034886641383596984,0.003068237424823539,0,-0.026465201465201482,-0.019631422431447998,8,angularResolution,-0.0716505805048514
planar3tree10,0.08278529983084115,-0.07429233753035802,0,-0.012120641842291557,-0.018982592782293112,-0.01548464687422113,0.0320640986528995,0,-0.05611672278338936,0.04203776459335451,8,angularResolution,0.08278529983084115
planar3tree30,-0.01483104276669811,-0.009859680653435787,0,-0.002324556605975192,-0.0020969835785601063,0.07443746074290536,-0.0020429082172873647,0,-0.09090474774927815,0.004213335875641433,8,alignment,-0.09090474774927815
planar3tree100,-0.012435933274185268,0.001436138412257204,0,0.01528037079628064,0.001989219480839242,-0.07366836561050838,0.02689446328783518,0.030303030303030276,-0.0920274241724035,-0.011797359748114022,9,alignment,-0.0920274241724035
cycle20,-1.4875545240045085e-11,0.011403966286045453,-1,-0.010431847584338905,-0.020831655556809325,-0.011483559126175158,0,0,-0.10151151873491782,-0.01123913106940444,7,convexity,-1
xtree30,0.01477559929647293,-0.0013528252320293976,0,-0.005788511636211968,0.02956093256816797,0.022438489884784474,0.007799090181530466,0.034482758620689724,0.15767724458022164,0.060908222288811875,9,alignment,0.15767724458022164
oct174,-0.015059176278963138,0.00004645857901119932,0,0.002697187371178855,0.00020944988894828435,0.0002469840956863534,0.0029437266439132914,3.3306690738754696e-16,0.010404676151796521,-0.008556003578903848,8,angularResolution,-0.015059176278963138
grid2x10,-0.03127154959758072,0.03961149996587909,0,0.0006190149963389846,-0.01505897288582543,-0.08540808340904027,-0.0013527188376436516,0,-0.04883532360312537,0.01778958488026905,8,edgeOrthogonality,-0.08540808340904027
grid2x20,-0.09379374507280386,0.05947668157118935,0,-0.0057625735916237986,-0.0005240606991830446,-0.2977624502136236,-0.006525513287477858,0.0731707317073168,-0.22613960113960108,0.05389653162343877,9,edgeOrthogonality,-0.2977624502136236
grid4x20,-0.014022181117215204,-0.012125618966575713,0,0.0011445681041332145,0.00246591265198616,0.012286581038836064,-0.0019272360349753548,0.025316455696202556,0.1159658034385227,-0.011375050708117618,9,alignment,0.1159658034385227
grid9x9,-0.007257555226300116,0.0010854717121863144,0,-0.003778718284420779,-0.02118512746703044,0.004088344317505155,-0.0014216133137174847,0.04999999999999993,0.005046224368933538,-0.004460608318838322,9,nodeUniformity,0.04999999999999993
randomplanar1,-0.00497861709121844,-0.00003675708158235036,0,0.003806275409851123,-0.0003581297665856617,-0.018339237492939198,-0.0007477202370808067,0,-0.02741366670037415,0.006963701033139036,8,alignment,-0.02741366670037415
randomplanar2,-0.03297506530164007,0.000551730941576345,-0.012345679012345623,0.0016324084463583688,-0.01600614955900239,0.005965073538013677,0.03595812913075591,-0.07272727272727231,-0.13383053369650888,-0.043669736468636366,10,alignment,-0.13383053369650888
randomplanar3,-0.029316761130898705,-0.005361640727850614,0,0.002157569408276494,-0.0013419047650601468,0.06141161740069345,0.00422853571408377,0.018181818181818077,-0.1533240763293422,0.06252161916224641,9,alignment,-0.1533240763293422
randomplanar4,0.010132128351342029,-0.025130715199493614,0.01098901098901095,0.0009265335204936553,0.009477627250094676,-0.007106168091606357,-0.006157316967547732,-0.04838709677419373,0.0016091813976848446,0.012285430856587176,10,nodeUniformity,-0.04838709677419373
randomplanar5,0.006296576766787687,0.0020263714291687274,-0.007633587786259555,0.007095292171487966,-0.001009117505762349,0.02332413056097271,-0.3347254676352194,-0.014084507042254057,-0.08709785285330807,0.051389021569704596,10,face,-0.3347254676352194
