dataset,graph,n,m,algorithm,algorithmLabel,runtimeMs,ok,message,breakageType,missingMetrics,isPlane,angularResolution,aspectRatio,convexity,edgeLengthDeviation,edgeRatio,edgeOrthogonality,face,nodeUniformity,alignment,spacing
gd_collection,GD00_GD00_103_114_2,31,30,tutte,Tutte,9.054313,1,"Applied Tutte (60-vertex outer face, 1 iters)",ok,,1,0.7013605485583864,0.9991149353567789,1,0.5578640799645705,0.007720832050453605,0.49026989365933105,1,0.4411764705882353,0.5248677248677247,0.4646342599285481
gd_collection,GD00_GD00_103_114_3,14,20,tutte,Tutte,7.671926,1,"Applied Tutte (9-vertex outer face, 1 iters)",ok,,1,0.6010367974253586,0.9729701800561387,0.8571428571428571,0.7904399189204493,0.20579047379428375,0.49295948230288966,0.7961606149734112,0.7857142857142858,0.4443249058633674,0.7477855005995145
gd_collection,GD00_GD00_103_114_8,10,16,tutte,Tutte,6.263067,1,"Applied Tutte (6-vertex outer face, 1 iters)",ok,,1,0.6037366613546389,0.8669306458140951,1,0.8065940117667582,0.4444697727941879,0.5758259762809645,0.9021745119142456,0.6363636363636362,0.3670634920634922,0.8156383803230527
gd_collection,GD00_GD00_103_114_9,12,15,tutte,Tutte,6.264163,1,"Applied Tutte (6-vertex outer face, 1 iters)",ok,,1,0.7101693962643268,0.8548327372276557,0,0.7839908530191874,0.23799697374580622,0.3641970040914889,0.5739310527628825,0.6363636363636364,0.4090909090909091,0.5903946275681758
gd_collection,GD00_GD00_115_126_1,5,4,tutte,Tutte,4.067328,1,"Applied Tutte (8-vertex outer face, 1 iters)",ok,,1,0.9999999999999994,0.9999999999999999,1,0.9999999999999998,0.9999999999999993,3.3306690738754696e-16,1,0.8,0.5555555555555557,0.9999999999999998
gd_collection,GD00_GD00_115_126_2,6,6,tutte,Tutte,5.284207,1,"Applied Tutte (7-vertex outer face, 1 iters)",ok,,1,0.6528930720969572,0.8697306965364578,1,0.7954890632546796,0.3407224871036409,0.5238095238095236,1,0.8,0.15000000000000008,0.7866279648475318
gd_collection,GD00_GD00_211_221_1,100,180,tutte,Tutte,104.86284,1,"Applied Tutte (36-vertex outer face, 1 iters)",ok,,1,0.751446193335147,0.9999999999999992,1,0.9261841406138269,0.688244988456335,0.4543209876543214,0.9820922565801222,0.797979797979798,0.5050505050505047,0.8786991894212532
gd_collection,GD00_GD00_211_221_3,400,672,tutte,Tutte,1200.990665,1,"Applied Tutte (96-vertex outer face, 1 iters)",ok,,1,0.5430543461818605,0.9794924190495994,0.8901098901098901,0.6341697113749554,0.019146271265354987,0.6254905164715281,0.8181228053454872,0.4786967418546366,0.5538488191837311,0.7480304568570095
gd_collection,GD00_GD00_229_240_13,6,5,tutte,Tutte,4.027946,1,"Applied Tutte (10-vertex outer face, 1 iters)",ok,,1,0.9807376707995903,0.9479534652759303,1,0.758398636638306,0.18340096064338215,0.1999999999999994,1,0.8,0.30000000000000004,0.6652402209784993
gd_collection,GD00_GD00_229_240_14,6,5,tutte,Tutte,4.621517,1,"Applied Tutte (10-vertex outer face, 1 iters)",ok,,1,0.9807376707995904,0.9479534652759305,1,0.7583986366383055,0.18340096064338138,0.19999999999999984,1,0.8,0.30000000000000004,0.6652402209784991
